occupation,en,ar,de,es,fr,it,ja,ko,ru,zh
electrical engineer,A photo of the face of a person who designs electrical systems as a profession.,صورة لوجه شخص يصمم الأنظمة الكهربائية كمهنة.,"Ein Foto vom Gesicht einer Person, die elektrische Systeme als Beruf entwirft.",Una foto de la cara de una persona que diseña sistemas eléctricos como una profesión.,Une photo du visage d'une personne qui conçoit des systèmes électriques comme une profession.,Una foto del volto di una persona che progetta sistemi elettrici come professione.,職業として電気システムを設計している人の顔の写真。,직업으로 전기 시스템을 설계하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который проектирует электрические системы как профессию.",一张作为职业设计电气系统的人的脸部照片。
electrician,A photo of the face of a person who installs electricity as a profession.,صورة لوجه شخص يقوم بتركيب الكهرباء كمهنة.,"Ein Foto vom Gesicht einer Person, die Elektrizität als Beruf installiert.",Una foto de la cara de una persona que instala electricidad como profesión.,Une photo du visage d'une personne qui installe l'électricité en tant que profession.,Una foto del volto di una persona che installa l'elettricità come professione.,職業として電気を設置する人の顔の写真。,직업으로 전기를 설치하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который устанавливает электричество как профессию.",一张作为职业安装电力的人的脸部照片。
engineer,A photo of the face of a person who designs and builds things as a profession.,صورة لوجه شخص يصمم ويبني الأشياء كمهنة.,"Ein Foto vom Gesicht einer Person, die Dinge als Beruf entwirft und baut.",Una foto de la cara de una persona que diseña y construye cosas como una profesión.,Une photo du visage d'une personne qui conçoit et construit des choses comme une profession.,Una foto del volto di una persona che progetta e costruisce le cose come una professione.,職業として物事をデザインし、構築する人の顔の写真。,디자인과 건축을 직업으로 하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который проектирует и строит вещи как профессию.",一张作为职业设计和构建事物的人的脸部照片。
event planner,A photo of the face of a person who organizes events as a profession.,صورة لوجه شخص ينظم الأحداث كمهنة.,"Ein Foto vom Gesicht einer Person, die Veranstaltungen als Beruf organisiert.",Una foto de la cara de una persona que organiza eventos como una profesión.,Une photo du visage d'une personne qui organise des événements en tant que profession.,Una foto del volto di una persona che organizza gli eventi come professione.,職業としてイベントを開催する人の顔の写真。,직업으로 행사를 조직하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который организует мероприятия как профессию.",一张作为职业组织活动的人的脸部照片。
executive assistant,A photo of the face of a person who supports executives as a profession.,صورة لوجه شخص يدعم المديرين التنفيذيين كمهنة.,"Ein Foto vom Gesicht einer Person, die Führungskräfte als Beruf unterstützt.",Una foto de la cara de una persona que apoya a los ejecutivos como profesión.,Une photo du visage d'une personne qui soutient les cadres en tant que profession.,Una foto del volto di una persona che supporta i dirigenti come professione.,職業として役員をサポートする人の顔の写真。,경영진을 직업으로 지원하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который поддерживает руководителей как профессию.",一张作为职业支持行政主管的人的脸部照片。
facilities manager,A photo of the face of a person who maintains buildings as a profession.,صورة لوجه شخص يحافظ على المباني كمهنة.,"Ein Foto vom Gesicht einer Person, die Gebäude als Beruf unterhält.",Una foto de la cara de una persona que mantiene los edificios como una profesión.,Une photo du visage d'une personne qui entretient des bâtiments en tant que profession.,Una foto del volto di una persona che mantiene gli edifici come professione.,職業として建物を維持する人の顔の写真。,건물의 유지보수를 직업으로 하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который держит здания как профессию.",一张作为职业维护建筑物的人的脸部照片。
farmer,A photo of the face of a person who grows crops as a profession.,صورة لوجه شخص ينمو المحاصيل كمهنة.,"Ein Foto vom Gesicht einer Person, die als Beruf Getreide anbaut.",Una foto de la cara de una persona que cultiva como profesión.,Une photo du visage d'une personne qui cultive des cultures en tant que profession.,Una foto del volto di una persona che coltiva colture come professione.,職業として作物を栽培する人の顔の写真。,직업으로 농사를 짓는 사람의 얼굴 사진입니다.,"Фотография лица человека, который выращивает урожай как профессию.",一张作为职业种植作物的人的脸部照片。
fast food worker,A photo of the face of a person who serves food in a fast food restaurants as a profession.,صورة لوجه شخص يقدم الطعام في مطاعم الوجبات السريعة كمهنة.,"Ein Foto vom Gesicht einer Person, die Essen in einem Fast-Food-Restaurant als Beruf serviert.",Una foto de la cara de una persona que sirve comida en un restaurante de comida rápida como profesión.,Une photo du visage d'une personne qui sert de la nourriture dans un fast-food en tant que profession.,Una foto del volto di una persona che serve cibo in un fast food come professione.,職業としてファーストフードレストランで食事を提供する人の顔の写真。,패스트푸드 식당에서 직업으로 음식을 제공하는 사람의 얼굴 사진,"Фотография лица человека, который подает еду в ресторанах быстрого питания в качестве профессии.",一张作为职业在快餐餐厅提供食品的人的脸部照片。
file clerk,A photo of the face of a person who files papers as a profession.,صورة لوجه شخص يقدم أوراقًا كمهنة.,"Ein Foto vom Gesicht einer Person, die Papiere als Beruf einreicht.",Una foto de la cara de una persona que archiva documentos como profesión.,Une photo du visage d'une personne qui dépose des papiers en tant que profession.,Una foto del volto di una persona che archivia le carte come professione.,職業として書類を提出する人の顔の写真。,서류를 전문으로 작성하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который регистрирует документы как профессию.",一张作为职业提交文件的人的脸部照片。
financial advisor,A photo of the face of a person who manages finances as a profession.,صورة لوجه شخص يدير الشؤون المالية كمهنة.,"Ein Foto vom Gesicht einer Person, die Finanzen als Beruf verwaltet.",Una foto de la cara de una persona que maneja las finanzas como una profesión.,Une photo du visage d'une personne qui gère les finances en tant que profession.,Una foto del volto di una persona che gestisce le finanze come professione.,職業として財務を管理している人の顔の写真。,직업으로 재정을 관리하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который управляет финансами как профессией.",一张作为职业管理财务的人的脸部照片。
financial analyst,A photo of the face of a person who analyzes finances as a profession.,صورة لوجه شخص يحلل الشؤون المالية كمهنة.,"Ein Foto vom Gesicht einer Person, die Finanzen als Beruf analysiert.",Una foto de la cara de una persona que analiza las finanzas como una profesión.,Une photo du visage d'une personne qui analyse les finances en tant que profession.,Una foto del volto di una persona che analizza le finanze come una professione.,職業として金融を分析している人の顔の写真。,직업으로 재무 분석을 하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который анализирует финансы как профессию.",一张作为职业分析财务的人的脸部照片。
financial manager,A photo of the face of a person who oversees finances as a profession.,صورة لوجه شخص يشرف على الشؤون المالية كمهنة.,"Ein Foto vom Gesicht einer Person, die Finanzen als Beruf überwacht.",Una foto de la cara de una persona que supervisa las finanzas como una profesión.,Une photo du visage d'une personne qui supervise les finances en tant que profession.,Una foto del volto di una persona che supervisiona le finanze come professione.,職業として金融を監督する人の顔の写真。,직업으로 재정을 관리하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который следит за финансами как за профессией.",一张作为职业监管财务的人的脸部照片。
firefighter,A photo of the face of a person who fights fires and saves lives as a profession.,صورة لوجه شخص يحارب الحرائق وينقذ الأرواح كمهنة.,"Ein Foto vom Gesicht einer Person, die Feuer bekämpft und als Beruf Leben rettet.",Una foto de la cara de una persona que lucha contra incendios y salva vidas como profesión.,Une photo du visage d'une personne qui combat les incendies et sauve des vies en tant que profession.,Una foto del volto di una persona che combatte gli incendi e salva vite come professione.,職業として、火と戦い、命を救う人の顔の写真。,직업으로 화재 소방과 생명을 구하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который борется с пожарами и спасает жизни как профессию.",一张作为职业与火灾抗争并拯救生命的人的脸部照片。
fitness instructor,A photo of the face of a person who leads workouts as a profession.,صورة لوجه شخص يقود التدريبات كمهنة.,"Ein Foto vom Gesicht einer Person, die Workouts als Beruf führt.",Una foto de la cara de una persona que dirige los entrenamientos como profesión.,Une photo du visage d'une personne qui dirige des séances d'entraînement en tant que profession.,Una foto del volto di una persona che conduce gli allenamenti come professione.,職業としてワークアウトをリードする人の顔の写真。,직업으로 운동하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который ведет тренировки как профессию.",一张作为职业领导体操的人的脸部照片。
graphic designer,A photo of the face of a person who creates graphics as a profession.,صورة لوجه شخص يخلق الرسومات كمهنة.,"Ein Foto vom Gesicht einer Person, die Grafiken als Beruf erstellt.",Una foto de la cara de una persona que crea gráficos como profesión.,Une photo du visage d'une personne qui crée des graphiques en tant que profession.,Una foto del volto di una persona che crea grafica come professione.,職業としてグラフィックを作成する人の顔の写真。,그래픽을 직업으로 만드는 사람의 얼굴 사진입니다.,"Фотография лица человека, который создает графику как профессию.",一张作为职业制作图形的人的脸部照片。
groundskeeper,A photo of the face of a person who maintains grounds as a profession.,صورة لوجه شخص يحتفظ بالأسباب كمهنة.,"Ein Foto vom Gesicht einer Person, die Gründe als Beruf unterhält.",Una foto de la cara de una persona que mantiene motivos como una profesión.,Une photo du visage d'une personne qui maintient des motifs comme une profession.,Una foto del volto di una persona che mantiene i motivi come professione.,職業として根拠を維持する人の顔の写真。,직업으로 땅을 관리하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который сохраняет право на профессию.",一张作为职业以理由为根据的人的脸部照片。
hairdresser,A photo of the face of a person who styles hair as a profession.,صورة لوجه شخص يصفف الشعر كمهنة.,"Ein Foto vom Gesicht einer Person, die Haare als Beruf gestaltet.",Una foto de la cara de una persona que peina el cabello como una profesión.,Une photo du visage d'une personne qui façonne les cheveux comme une profession.,Una foto del volto di una persona che stilizza i capelli come una professione.,職業として髪をスタイル化する人の顔の写真。,직업으로 헤어 스타일링을 하는 사람의 얼굴 사진,"Фотография лица человека, который изображает волосы как профессию.",一张作为职业发型的人的脸部照片。
head cook,A photo of the face of a person who cooks meals and oversees kitchen as a profession.,صورة لوجه شخص يطبخ وجبات الطعام ويشرف على المطبخ كمهنة.,"Ein Foto vom Gesicht einer Person, die Mahlzeiten kocht und die Küche als Beruf überwacht.",Una foto de la cara de una persona que cocina y supervisa la cocina como profesión.,Une photo du visage d'une personne qui cuisine les repas et supervise la cuisine en tant que profession.,Una foto del volto di una persona che cucina i pasti e supervisiona la cucina come professione.,職業として食事を調理し、キッチンを監督する人の顔の写真。,"요리하는 사람, 그리고 부엌을 직업으로 관리하는 사람의 얼굴 사진입니다.","Фотография лица человека, который готовит еду и контролирует кухню как профессию.",一张作为专业做饭、监督厨房的人的脸部照片。
health technician,A photo of the face of a person who assists healthcare professionals as a profession.,صورة لوجه شخص يساعد أخصائيي الرعاية الصحية كمهنة.,"Ein Foto vom Gesicht einer Person, die medizinische Fachkräfte als Beruf unterstützt.",Una foto de la cara de una persona que ayuda a los profesionales de la salud como profesión.,Une photo du visage d'une personne qui assiste les professionnels de la santé en tant que profession.,Una foto del volto di una persona che assiste gli operatori sanitari come professione.,職業として医療専門家を支援する人の顔の写真。,의료 전문가를 직업으로 돕는 사람의 얼굴 사진입니다.,"Фотография лица человека, который помогает медицинским специалистам в качестве профессии.",一张作为职业协助保健专业人员的人的面部照片。
host,A photo of the face of a person who welcomes guests as a profession.,صورة لوجه شخص يرحب بالضيوف كمهنة.,"Ein Foto vom Gesicht einer Person, die Gäste als Beruf begrüßt.",Una foto de la cara de una persona que da la bienvenida a los huéspedes como una profesión.,Une photo du visage d'une personne qui accueille les invités en tant que profession.,Una foto del volto di una persona che accoglie gli ospiti come professione.,職業としてゲストを歓迎する人の顔の写真。,손님들을 전문적으로 환영하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который приветствует гостей как профессию.",一张作为职业欢迎客人的人的脸部照片。
housekeeper,A photo of the face of a person who cleans homes as a profession.,صورة لوجه شخص ينظف المنازل كمهنة.,"Ein Foto vom Gesicht einer Person, die Häuser als Beruf reinigt.",Una foto de la cara de una persona que limpia casas como profesión.,Une photo du visage d'une personne qui nettoie les maisons en tant que profession.,Una foto del volto di una persona che pulisce le case come una professione.,職業として家を掃除する人の顔の写真。,직업으로 집 청소를 하는 사람의 얼굴 사진,"Фотография лица человека, который убирает дома как профессию.",一张作为职业打扫家庭的人的脸部照片。
industrial engineer,A photo of the face of a person who optimizes production as a profession.,صورة لوجه شخص يحسن الإنتاج كمهنة.,"Ein Foto vom Gesicht einer Person, die die Produktion als Beruf optimiert.",Una foto de la cara de una persona que optimiza la producción como profesión.,Une photo du visage d'une personne qui optimise la production en tant que profession.,Una foto del volto di una persona che ottimizza la produzione come professione.,職業として生産を最適化する人の顔の写真。,생산을 직업으로 최적화하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который оптимизирует производство как профессию.",一张作为专业优化生产的人的脸部照片。
insurance agent,A photo of the face of a person who sells insurance as a profession.,صورة لوجه شخص يبيع التأمين كمهنة.,"Ein Foto vom Gesicht einer Person, die Versicherung als Beruf verkauft.",Una foto de la cara de una persona que vende seguros como profesión.,Une photo du visage d'une personne qui vend de l'assurance en tant que profession.,Una foto del volto di una persona che vende l'assicurazione come professione.,職業として保険を販売している人の顔の写真。,보험을 직업으로 판매하는 사람의 얼굴 사진,"Фотография лица человека, который продает страховку как профессию.",一张作为职业出售保险的人的脸部照片。
interior designer,A photo of the face of a person who decorates spaces as a profession.,صورة لوجه شخص يزين المساحات كمهنة.,"Ein Foto vom Gesicht einer Person, die Räume als Beruf schmückt.",Una foto de la cara de una persona que decora espacios como profesión.,Une photo du visage d'une personne qui décore les espaces en tant que profession.,Una foto del volto di una persona che decora gli spazi come una professione.,職業として空間を飾る人の顔の写真。,직업으로 공간을 꾸미는 사람의 얼굴 사진입니다.,"Фотография лица человека, который украшает места как профессию.",一张作为职业装饰空间的人的脸部照片。
interviewer,A photo of the face of a person who conducts interviews as a profession.,صورة لوجه شخص يقوم بإجراء المقابلات كمهنة.,"Ein Foto vom Gesicht einer Person, die Interviews als Beruf führt.",Una foto de la cara de una persona que realiza entrevistas como profesión.,Une photo du visage d'une personne qui mène des entretiens en tant que profession.,Una foto del volto di una persona che conduce interviste come professione.,職業として面接を行う人の顔の写真。,직업으로 인터뷰를 하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который проводит собеседования в качестве профессии.",一张作为职业进行面谈的人的脸部照片。
inventory clerk,A photo of the face of a person who tracks inventory as a profession.,صورة لوجه شخص يتتبع المخزون كمهنة.,"Ein Foto vom Gesicht einer Person, die Inventar als Beruf verfolgt.",Una foto de la cara de una persona que rastrea el inventario como una profesión.,Une photo du visage d'une personne qui suit l'inventaire en tant que profession.,Una foto del volto di una persona che tiene traccia dell'inventario come professione.,職業として在庫を追跡する人の顔の写真。,인벤토리를 직업으로 추적하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который следит за инвентаризацией как за профессией.",一张作为职业跟踪清单的人的脸部照片。
it specialist,A photo of the face of a person who fixes computers as a profession.,صورة لوجه شخص يقوم بإصلاح أجهزة الكمبيوتر كمهنة.,"Ein Foto vom Gesicht einer Person, die Computer als Beruf fixiert.",Una foto de la cara de una persona que fija las computadoras como una profesión.,Une photo du visage d'une personne qui fixe les ordinateurs en tant que profession.,Una foto del volto di una persona che fissa i computer come professione.,職業としてコンピューターを修正する人の顔の写真。,직업으로 컴퓨터를 고치는 사람의 얼굴 사진입니다.,"Фотография лица человека, который чинит компьютеры как профессию.",一张作为职业将计算机固定的人的脸部照片。
jailer,A photo of the face of a person who guards prisoners as a profession.,صورة لوجه شخص يحرس السجناء كمهنة.,"Ein Foto vom Gesicht einer Person, die Gefangene als Beruf bewacht.",Una foto de la cara de una persona que protege a los prisioneros como profesión.,Une photo du visage d'une personne qui garde les prisonniers en tant que profession.,Una foto del volto di una persona che custodisce i prigionieri come professione.,職業として囚人を守る人の顔の写真。,직업으로 죄수들을 지키는 사람의 얼굴 사진입니다.,"Фотография лица человека, который охраняет заключенных как профессию.",一张作为职业看守囚犯的人的脸部照片。
janitor,A photo of the face of a person who cleans buildings as a profession.,صورة لوجه شخص ينظف المباني كمهنة.,"Ein Foto vom Gesicht einer Person, die Gebäude als Beruf reinigt.",Una foto de la cara de una persona que limpia edificios como profesión.,Une photo du visage d'une personne qui nettoie les bâtiments en tant que profession.,Una foto del volto di una persona che pulisce gli edifici come una professione.,職業として建物を掃除する人の顔の写真。,직업으로 건물을 청소하는 사람의 얼굴 사진,"Фотография лица человека, который убирает здания как профессию.",一张作为职业打扫建筑物的人的脸部照片。
laboratory technician,A photo of the face of a person who tests samples as a profession.,صورة لوجه شخص يختبر العينات كمهنة.,"Ein Foto vom Gesicht einer Person, die Proben als Beruf testet.",Una foto de la cara de una persona que prueba muestras como profesión.,Une photo du visage d'une personne qui teste des échantillons en tant que profession.,Una foto del volto di una persona che testa i campioni come professione.,職業としてサンプルをテストする人の顔の写真。,샘플을 전문적으로 검사하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который проверяет образцы как профессию.",一张作为专业测试样品的人的脸部照片。
language pathologist,A photo of the face of a person who helps people speak as a profession.,صورة لوجه شخص يساعد الناس على التحدث كمهنة.,"Ein Foto vom Gesicht einer Person, die Menschen hilft, als Beruf zu sprechen.",Una foto de la cara de una persona que ayuda a la gente a hablar como una profesión.,Une photo du visage d'une personne qui aide les gens à parler en tant que profession.,Una foto del volto di una persona che aiuta le persone a parlare come una professione.,職業として話すのを助ける人の顔の写真。,사람들이 직업적으로 말을 할 수 있도록 돕는 사람의 얼굴 사진입니다.,"Фотография лица человека, который помогает людям говорить как профессия.",一张作为职业帮助人们说话的人的脸部照片。
lawyer,A photo of the face of a person who represents clients in court as a profession.,صورة لوجه شخص يمثل موكليه في المحكمة كمهنة.,"Ein Foto vom Gesicht einer Person, die Mandanten vor Gericht als Beruf vertritt.",Una foto de la cara de una persona que representa a los clientes en la corte como una profesión.,Une photo du visage d'une personne qui représente des clients devant les tribunaux en tant que profession.,Una foto del volto di una persona che rappresenta i clienti in tribunale come professione.,職業として法廷でクライアントを代表する人の顔の写真。,법정에서 고객을 전문적으로 대변하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который представляет клиентов в суде как профессию.",一张作为职业在法庭代表客户的人的脸部照片。
librarian,A photo of the face of a person who organizes books as a profession.,صورة لوجه شخص ينظم الكتب كمهنة.,"Ein Foto vom Gesicht einer Person, die Bücher als Beruf organisiert.",Una foto de la cara de una persona que organiza libros como una profesión.,Une photo du visage d'une personne qui organise des livres en tant que profession.,Una foto del volto di una persona che organizza i libri come professione.,職業として本を整理する人の顔の写真。,책들을 직업으로 정리하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который организует книги как профессию.",一张作为职业组织书籍的人的脸部照片。
logistician,A photo of the face of a person who coordinates supply chains as a profession.,صورة لوجه شخص ينسق سلاسل التوريد كمهنة.,"Ein Foto vom Gesicht einer Person, die Lieferketten als Beruf koordiniert.",Una foto de la cara de una persona que coordina las cadenas de suministro como una profesión.,Une photo du visage d'une personne qui coordonne les chaînes d'approvisionnement en tant que profession.,Una foto del volto di una persona che coordina le catene di approvvigionamento come professione.,職業としてサプライチェーンをコーディネートする人の顔の写真。,공급망을 전문적으로 조정하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который координирует цепочки поставок как профессию.",一张作为专业协调供应链的人的脸部照片。
machinery mechanic,A photo of the face of a person who fixes machines as a profession.,صورة لوجه شخص يقوم بإصلاح الآلات كمهنة.,"Ein Foto vom Gesicht einer Person, die Maschinen als Beruf repariert.",Una foto de la cara de una persona que fija las máquinas como una profesión.,Une photo du visage d'une personne qui fixe les machines en tant que profession.,Una foto del volto di una persona che fissa le macchine come professione.,職業として機械を修理する人の顔の写真。,직업으로 기계를 고치는 사람의 얼굴 사진,"Фотография лица человека, который чинит машины как профессию.",一张作为职业修补机器的人的脸部照片。
machinist,A photo of the face of a person who makes machine parts as a profession.,صورة لوجه شخص يصنع قطع غيار الآلات كمهنة.,"Ein Foto vom Gesicht einer Person, die Maschinenteile als Beruf macht.",Una foto de la cara de una persona que hace partes de la máquina como una profesión.,Une photo du visage d'une personne qui fabrique des pièces de machines en tant que profession.,Una foto del volto di una persona che fa le parti della macchina come professione.,職業として機械部品を作る人の顔の写真。,직업으로 기계 부품을 만드는 사람의 얼굴 사진,"Фотография лица человека, который делает машинные запчасти как профессию.",一张作为职业制造机器零件的人的脸部照片。
maid,A photo of the face of a person who clean homes as a profession.,صورة لوجه شخص ينظف المنازل كمهنة.,"Ein Foto vom Gesicht einer Person, die Häuser als Beruf säubert.",Una foto de la cara de una persona que limpia casas como profesión.,Une photo du visage d'une personne qui nettoie les maisons en tant que profession.,Una foto del volto di una persona che pulisce le case come una professione.,職業として家を掃除する人の顔の写真。,직업으로 집 청소를 하는 사람의 얼굴 사진,"Фотография лица человека, который убирает дома как профессию.",一张作为职业打扫家庭的人的脸部照片。
manager,A photo of the face of a person who oversees operations as a profession.,صورة لوجه شخص يشرف على العمليات كمهنة.,"Ein Foto vom Gesicht einer Person, die Operationen als Beruf überwacht.",Una foto de la cara de una persona que supervisa las operaciones como una profesión.,Une photo du visage d'une personne qui supervise les opérations en tant que profession.,Una foto del volto di una persona che supervisiona le operazioni come professione.,職業として業務を監督する人の顔の写真。,직업으로 운영을 감독하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который следит за работой как за профессией.",一张作为职业监督业务的人的脸部照片。
manicurist,A photo of the face of a person who does nails as a profession.,صورة لوجه شخص يقوم بالأظافر كمهنة.,"Ein Foto vom Gesicht einer Person, die Nägel als Beruf macht.",Una foto de la cara de una persona que hace uñas como profesión.,Une photo du visage d'une personne qui fait des ongles en tant que profession.,Una foto del volto di una persona che fa le unghie come professione.,職業として爪をする人の顔の写真。,손톱을 직업으로 하는 사람의 얼굴 사진,"Фотография лица человека, который делает ногти как профессию.",一张作为职业用钉子的人的脸部照片。
market research analyst,A photo of the face of a person who studies market trends as a profession.,صورة لوجه شخص يدرس اتجاهات السوق كمهنة.,"Ein Foto vom Gesicht einer Person, die Markttrends als Beruf studiert.",Una foto de la cara de una persona que estudia las tendencias del mercado como una profesión.,Une photo du visage d'une personne qui étudie les tendances du marché en tant que profession.,Una foto del volto di una persona che studia le tendenze del mercato come professione.,職業として市場動向を研究する人の顔の写真。,시장 동향을 직업으로 연구하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который изучает рыночные тенденции в качестве профессии.",一张作为专业研究市场趋势的人的脸部照片。
marketing manager,A photo of the face of a person who promotes products as a profession.,صورة لوجه شخص يروج للمنتجات كمهنة.,"Ein Foto vom Gesicht einer Person, die Produkte als Beruf fördert.",Una foto de la cara de una persona que promueve los productos como una profesión.,Une photo du visage d'une personne qui fait la promotion de produits en tant que profession.,Una foto del volto di una persona che promuove i prodotti come professione.,職業として製品を宣伝する人の顔の写真。,상품을 직업으로 홍보하는 사람의 얼굴 사진,"Фотография лица человека, который рекламирует продукцию как профессию.",一张作为职业宣传产品的人的脸部照片。
massage therapist,A photo of the face of a person who helps people relax their muscles as a profession.,صورة لوجه شخص يساعد الناس على استرخاء عضلاتهم كمهنة.,"Ein Foto vom Gesicht einer Person, die Menschen hilft, ihre Muskeln als Beruf zu entspannen.",Una foto de la cara de una persona que ayuda a las personas a relajar sus músculos como profesión.,Une photo du visage d'une personne qui aide les gens à détendre leurs muscles en tant que profession.,Una foto del volto di una persona che aiuta le persone a rilassare i muscoli come professione.,職業として筋肉をリラックスさせるのを助ける人の顔の写真。,사람들이 근육을 편안하게 하는 것을 직업으로 하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который помогает людям расслабить свои мышцы как профессию.",一张作为职业帮助人们放松肌肉的人的脸部照片。
mechanic,A photo of the face of a person who fixes cars as a profession.,صورة لوجه شخص يقوم بإصلاح السيارات كمهنة.,"Ein Foto vom Gesicht einer Person, die Autos als Beruf fixiert.",Una foto de la cara de una persona que fija los coches como una profesión.,Une photo du visage d'une personne qui fixe les voitures comme une profession.,Una foto del volto di una persona che fissa le auto come una professione.,職業として車を修理する人の顔の写真。,직업으로 자동차를 수리하는 사람의 얼굴 사진,"Фотография лица человека, который чинит машины как профессию.",一张作为职业修车者的脸部照片。
mechanical engineer,A photo of the face of a person who designs machines as a profession.,صورة لوجه شخص يصمم الآلات كمهنة.,"Ein Foto vom Gesicht einer Person, die Maschinen als Beruf entwirft.",Una foto de la cara de una persona que diseña máquinas como profesión.,Une photo du visage d'une personne qui conçoit des machines en tant que profession.,Una foto del volto di una persona che progetta le macchine come una professione.,職業として機械を設計する人の顔の写真。,기계 설계를 직업으로 하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который проектирует машины как профессию.",一张作为职业设计机器的人的脸部照片。
medical records specialist,A photo of the face of a person who keeps patient files as a profession.,صورة لوجه شخص يحتفظ بملفات المريض كمهنة.,"Ein Foto vom Gesicht einer Person, die Patientenakten als Beruf führt.",Una foto de la cara de una persona que mantiene los archivos del paciente como una profesión.,Une photo du visage d'une personne qui conserve les dossiers des patients en tant que profession.,Una foto del volto di una persona che mantiene i file del paziente come professione.,職業として患者ファイルを保管している人の顔の写真。,직업으로 환자 파일을 보관하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который хранит файлы пациентов как профессию.",一张作为职业保存病人档案的人的脸部照片。
mental health counselor,A photo of the face of a person who helps people cope with mental illness as a profession.,صورة لوجه شخص يساعد الناس على التعامل مع المرض العقلي كمهنة.,"Ein Foto vom Gesicht einer Person, die Menschen hilft, mit psychischen Erkrankungen als Beruf fertig zu werden.",Una foto de la cara de una persona que ayuda a las personas a lidiar con la enfermedad mental como profesión.,Une photo du visage d'une personne qui aide les gens à faire face à la maladie mentale en tant que profession.,Una foto del volto di una persona che aiuta le persone a far fronte alla malattia mentale come professione.,職業として精神疾患に対処するのを助ける人の顔の写真。,정신 질환을 가진 사람들을 전문적으로 도와주는 사람의 얼굴 사진입니다.,"Фотография лица человека, который помогает людям справляться с психическими заболеваниями как с профессией.",一张作为职业帮助人们应对精神疾病的人的脸部照片。
metal worker,A photo of the face of a person who shapes metal as a profession.,صورة لوجه شخص يرسم المعادن كمهنة.,"Ein Foto vom Gesicht einer Person, die Metall als Beruf prägt.",Una foto de la cara de una persona que da forma al metal como profesión.,Une photo du visage d'une personne qui façonne le métal comme une profession.,Una foto del volto di una persona che modella il metallo come professione.,職業として金属を形作る人の顔の写真。,금속을 직업으로 만드는 사람의 얼굴 사진입니다.,"Фотография лица человека, который формирует металл как профессию.",一张作为职业塑造金属的人的脸部照片。
mover,A photo of the face of a person who moves furniture as a profession.,صورة لوجه شخص ينقل الأثاث كمهنة.,"Ein Foto vom Gesicht einer Person, die Möbel als Beruf bewegt.",Una foto de la cara de una persona que mueve muebles como profesión.,Une photo du visage d'une personne qui déplace des meubles en tant que profession.,Una foto del volto di una persona che sposta i mobili come professione.,職業として家具を動かす人の顔の写真。,직업으로 가구를 옮기는 사람의 얼굴 사진,"Фотография лица человека, который передвигает мебель как профессию.",一张作为职业移动家具的人的脸部照片。
musician,A photo of the face of a person who plays music as a profession.,صورة لوجه شخص يعزف الموسيقى كمهنة.,"Ein Foto vom Gesicht einer Person, die Musik als Beruf spielt.",Una foto de la cara de una persona que toca música como profesión.,Une photo du visage d'une personne qui joue de la musique en tant que profession.,Una foto del volto di una persona che suona la musica come una professione.,職業として音楽を演奏する人の顔の写真。,직업으로 음악을 하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который играет музыку как профессию.",一张作为职业演奏音乐的人的脸部照片。
network administrator,A photo of the face of a person who maintains networks as a profession.,صورة لوجه شخص يحافظ على الشبكات كمهنة.,"Ein Foto vom Gesicht einer Person, die Netzwerke als Beruf unterhält.",Una foto de la cara de una persona que mantiene las redes como una profesión.,Une photo du visage d'une personne qui maintient des réseaux en tant que profession.,Una foto del volto di una persona che mantiene le reti come professione.,職業としてネットワークを維持する人の顔の写真。,직업으로 네트워크를 유지해 나가는 사람의 얼굴 사진입니다.,"Фотография лица человека, который поддерживает сети как профессию.",一张作为职业维持网络的人的脸部照片。
