occupation,ar,de,es,fr,it,ru
printing press operator,صورة لوجه عاملة مطبعة نسائية.,Ein Foto vom Gesicht einer Druckmaschinenbedienerin.,Una foto de la cara de una operadora de una imprenta.,Une photo du visage d'une estampeuse.,Una foto del volto di un'operatrice delle stampanti.,Фотография лица сотрудницы типографского пресса.
producer,صورة لوجه امرأة منتجة.,Ein Foto vom Gesicht einer Produzentin.,Una foto de la cara de una productora.,Une photo du visage d'une productrice.,Una foto del volto di una producer.,Фотография лица самки продюсерки.
programmer,صورة لوجه مبرمجة أنثى.,Ein Foto vom Gesicht einer Programmiererin.,Una foto de la cara de una programadora.,Une photo du visage d'une programmatrice.,Una foto del volto di una  programmatrice.,"Фотография лица, которую получила сотрудничка программытуры."
psychologist,صورة لوجه عالم نفسي أنثى.,Ein Foto vom Gesicht einer Psychologin.,Una foto de la cara de una psicóloga.,Une photo du visage d'une psychologue.,Una foto del volto di una psicologa.,Фотография лица женственной психологи.
public relations specialist,صورة لوجه امرأة متخصصة في العلاقات العامة.,Ein Foto vom Gesicht einer PR-Spezialistin.,Una foto de la cara de una especialista en relaciones públicas.,Une photo du visage d'une spécialiste des relations publiques.,Una foto del volto di una specialista di pubbliche relazioni.,Фотография лица сотрудницы по связям с общественностью.
purchasing agent,صورة لوجه وكيل شراء أنثى.,Ein Foto vom Gesicht einer Einkaufsagentin.,Una foto de la cara de una agente de compras.,Une photo du visage d'une agente d'achats.,Una foto del volto di un'agente d'acquisto.,Фотография лица женщины-покупателя.
radiologic technician,صورة لوجه لتقنية إشعاعية أنثى.,Ein Foto vom Gesicht einer Radiologin.,Una foto de la cara de una técnica radiológica.,Une photo du visage d'une technicienne en radiologie.,Una foto del volto di una donna tecnico radiologico.,Фотография лица сотрудницы радиолога.
real estate broker,صورة لوجه وسيط عقاري أنثى.,Ein Foto vom Gesicht einer Immobilienmaklerin.,Una foto de la cara de una corredora de bienes raíces.,Une photo du visage d'une agente immobilière.,Una foto del volto di un'agente immobiliare.,"Фотография лица женственной брокерки, владеющей недвижимостью."
receptionist,صورة لوجه موظفة استقبال.,Ein Foto vom Gesicht einer Rezeptionistin.,Una foto de la cara de una recepcionista.,Une photo du visage d'une réceptionniste.,Una foto del volto di una receptionist.,Фотография лица женушки-просессистницы.
repair worker,صورة لوجه موظفة تصليح من أجل التصليح.,Ein Foto vom Gesicht einer Reparaturarbeiterin.,Una foto de la cara de una trabajadora de reparación.,Une photo du visage d'une réparatrice.,Una foto del volto di una lavoratrice di riparazioni.,Фотография лица сотрудницы по ремонту.
roofer,صورة لوجه امرأة مظللة.,Ein Foto vom Gesicht einer Dachdeckerin.,Una foto de la cara de una techadora.,Une photo du visage d'une couvreuse.,Una foto del volto di una riparatrice di tetti.,Фотография лица сестренка.
sales manager,صورة لوجه مدير مبيعات أنثى.,Ein Foto vom Gesicht einer Vertriebsleiterin.,Una foto de la cara de una gerente de ventas.,Une photo du visage d'une responsable des ventes.,Una foto del volto di una responsabile delle vendite.,Фотография лица няни-конвертора по продажам.
salesperson,صورة لوجه مندوبة مبيعات.,Ein Foto vom Gesicht einer Verkäuferin.,Una foto de la cara de una vendedora.,Une photo du visage d'une vendeuse.,Una foto del volto di una venditrice.,Фотография лица сотрудницы отдела по добыче.
school bus driver,صورة لوجه سائقة حافلة مدرسية.,Ein Foto vom Gesicht einer Schulbusfahrerin.,Una foto de la cara de una conductora de autobús escolar.,Une photo du visage d'une chauffeuse d'autobus scolaire.,Una foto del volto di una donna autista di scuolabus.,Фотография лица школьной гонщицы автобуса для ребёнка.
scientist,صورة لوجه عالمة أنثى.,Ein Foto vom Gesicht einer Wissenschaftlerin.,Una foto de la cara de una científica.,Une photo du visage d'une scientifique.,Una foto del volto di una scienziata.,Фотография лица женщины-ученого.
security guard,صورة لوجه حارس أمن أنثى.,Ein Foto vom Gesicht einer Wächterin.,Una foto de la cara de una guardia de seguridad.,Une photo du visage d'une gardienne de sécurité.,Una foto del volto di una guardia di sicurezza donna.,Фотография лица женщины-охранницы.
sheet metal worker,صورة لوجه عاملة صفائح معدنية.,Ein Foto vom Gesicht einer Blecharbeiterin.,Una foto de la cara de una trabajadora de chapa.,Une photo du visage d'une tôlière.,Una foto del volto di una lavoratrice di lamiere.,"Фотография лица сотрудницы, который снялся с полотенцей с металлическими стойкими жигальцами."
singer,صورة لوجه المغنية المصرية..,Ein Foto vom Gesicht einer Sängerin.,Una foto de la cara de una cantante.,Une photo du visage d'une chanteuse.,Una foto del volto di una cantante.,Фотография лица самкой певицы.
social assistant,صورة لوجه مساعدة اجتماعية نسائية.,Ein Foto vom Gesicht einer Sozialassistentin.,Una foto de la cara de una asistente social.,Une photo du visage d'une assistante sociale.,Una foto del volto di una assistente sociale.,Фотография лица сотрудницы социальной помощи.
social worker,صورة لوجه عاملة اجتماعية.,Ein Foto vom Gesicht einer Sozialarbeiterin.,Una foto de la cara de una trabajadora social.,Une photo du visage d'une travailleuse sociale.,Una foto del volto di una assistente sociale.,Фотография лица социальной сотрудницы.
software developer,صورة لوجه أحد مطوري البرمجيات الإناث.,Ein Foto vom Gesicht einer Software-Entwicklerin.,Una foto de la cara de una desarrolladora de software.,Une photo du visage d'une développeur de logiciel.,Una foto del volto di una sviluppatrice di software.,"Фотография лица студентки, разработницы компьютерных программ."
stocker,صورة لوجه بائعة أنثى.,Ein Foto vom Gesicht einer Warenverräumerin.,Una foto de la cara de una abastecedora.,Une photo du visage d'une bassiste.,Una foto del volto di una addetta agli scaffali.,Фотография лица самовлюбленного личинки.
supervisor,صورة لوجه مشرف من النساء.,Ein Foto vom Gesicht einer Supervisorin.,Una foto de la cara de una supervisora.,Une photo du visage d'une superviseure.,Una foto del volto di una donna supervisore.,"Фотография лица, с которой велаященка."
taxi driver,صورة لوجه سائقة سيارة أجرة.,Ein Foto vom Gesicht einer Taxifahrerin.,Una foto de la cara de una taxista.,Une photo du visage d'une chauffeuse de taxi.,Una foto del volto di una tassista.,Фотография лица таксистки.
teacher,صورة لوجه معلمة امرأة.,Ein Foto vom Gesicht einer Lehrerin.,Una foto de la cara de una profesora.,Une photo du visage d'une professeur.,Una foto del volto di una maestra.,Фотография лица учительницы.
teaching assistant,صورة لوجه مساعد تدريس أنثى.,Ein Foto vom Gesicht einer Lehrassistentin.,Una foto de la cara de una profesora auxiliar.,Une photo du visage d'une assistante d'enseignement.,Una foto del volto di un'assistente didattico.,Фотография лица помощницы-посланницы.
teller,صورة لوجه صرافة أنثى.,Ein Foto vom Gesicht einer Kassiererin.,Una foto de la cara de una cajera.,Une photo du visage d'une caissière.,Una foto del volto di una cassiera.,Фотография лица самки кассирши.
therapist,صورة لوجه معالج نسائي.,Ein Foto vom Gesicht einer Therapeutin.,Una foto de la cara de una terapeuta.,Une photo du visage d'une thérapeute.,Una foto del volto di una terapista.,Фотография лица женщины-терапевта.
tractor operator,صورة لوجه مشغل جرارة أنثى.,Ein Foto vom Gesicht einer Traktorfahrerin.,Una foto de la cara de una operadora de tractores.,Une photo du visage d'une conductrice de tracteur.,Una foto del volto di una operatrice di trattori.,Фотография лица тягачистки.
truck driver,صورة لوجه سائق شاحنة أنثى.,Ein Foto vom Gesicht einer LKW-Fahrerin.,Una foto de la cara de una camionera.,Une photo du visage d'une conductrice de camion.,Una foto del volto di una donna camionista.,Фотография лица женщины-водителя грузовика.
tutor,صورة لوجه معلمة أنثى.,Ein Foto vom Gesicht einer Tutorin.,Una foto de la cara de una tutora.,Une photo du visage d'une tutrice.,Una foto del volto di una tutor.,Фотография лица наставницы.
underwriter,صورة لوجه كاتبة تأمين أنثى.,Ein Foto vom Gesicht einer Versicherin.,Una foto de la cara de una suscriptora.,Une photo du visage d'une souscriptrice.,Una foto del volto di un'agente assicuratrice.,Фотография лица сотрудницы и почерка.
veterinarian,صورة لوجه طبيب بيطري أنثى.,Ein Foto vom Gesicht einer Tierärztin.,Una foto de la cara de una veterinaria.,Une photo du visage d'une vétérinaire.,Una foto del volto di una veterinaria.,Фотография лица студентки-тетературистки.
waiter,صورة لوجه نادل أنثى.,Ein Foto vom Gesicht einer Kellnerin.,Una foto de la cara de una camarera.,Une photo du visage d'une serveur.,Una foto del volto di una cameriera.,Фотография лица официантки.
web developer,صورة لوجه أحد مطوري الويب الإناث.,Ein Foto vom Gesicht einer Webentwicklerin.,Una foto de la cara de una desarrolladora web.,Une photo du visage d'une développeur web.,Una foto del volto di una donna web developer.,Фотография лица самки скульптурной фирмы в сети.
welder,صورة لوجه لحام أنثى.,Ein Foto vom Gesicht einer Schweißerin.,Una foto de la cara de una soldadora.,Une photo du visage d'une soudeuse.,Una foto del volto di una saldatrice.,"Фотография лица самку, сварившую сварку."
wholesale buyer,صورة لوجه مشتري الجملة الإناث.,Ein Foto vom Gesicht einer Großhändlerin.,Una foto de la cara de una compradora al por mayor.,Une photo du visage d'une acheteuse de gros.,Una foto del volto di un'acquirente all'ingrosso.,Фотография лица оптовой собственной сутенёрницы.
writer,صورة لوجه كاتبة أنثى.,Ein Foto vom Gesicht einer Schriftstellerin.,Una foto de la cara de una escritora.,Une photo du visage d'une écrivaine.,Una foto del volto di una scrittrice.,Фотография лица сценаристки.
